1060,78,26,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,88,27,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1584,126,29,30,0,0,1,0,0,0,0,0,1,0,0,0,0,1,35,24,23,0,0,1,0,0,0,0,1,0,0,0,0,0,1
3433,76,33,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,49,25,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
639,76,19,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,71,13,21,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1878,89,35,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,100,45,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1319,63,19,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75,18,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1295,96,30,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,108,33,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1
569,35,14,10,1,0,0,0,0,0,0,0,0,0,0,1,1,0,53,16,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0
858,63,16,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,81,19,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0
865,177,13,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,69,14,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0
928,209,18,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,190,24,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
790,203,22,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,88,20,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1319,90,26,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,145,36,9,0,0,0,0,1,0,0,1,0,0,0,0,0,1
507,41,13,11,0,0,0,0,0,0,1,0,0,0,0,1,1,0,71,13,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1196,40,18,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,53,24,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1
667,35,12,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,16,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0
767,137,20,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,197,23,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0
912,104,27,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,191,23,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1285,80,30,9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,61,23,15,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1331,96,33,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,69,19,25,0,0,0,0,0,0,1,0,0,0,0,1,0,0
